title,content,related_keyword
가상통화공개(ICO),"가상통화(ICO, Initial Coin Offering) 공개는 주로 혁신적인 신생기업(startup)이 암호 화화폐(cryptocurrency) 또는 디지털 토큰(digital token, 일종의 투자증명)을 이용하여 자금을 조달할 수 있는 크라우드펀딩(crowd funding)의 한 방식이다. 가상통화공개 (ICO)에서 새로 발행된 암호화화폐는 법화(legal tender) 또는 비트코인 등 기존의 가상 통화와 교환되어 투자자에게 팔린다. 이 용어는 거래소에 상장하려는 기업이 투자자에게 자기 주식을 처음 공개적으로 매도하는 기업공개(IPO, Initial Public Offering)에서 연유되었다고 볼 수 있다. 기업공개(IPO)에 참여한 투자자는 해당 기업의 소유권과 관련하여 주식을 획득한다. 반면 가상통화공개(ICO)에 참여한 투자자는 해당 신생기업의 코인 (coins) 또는 토큰을 얻는데, 이는 해당 기업이 제안한 프로젝트가 나중에 성공했을 경우 평가될 수 있는 가치(value)로 볼 수 있다. ICO는 주로 블록체인플랫폼인 이더리움 (Etherium)에서 이뤄지고 있다. 우리나라의 경우 현재 금지하고 있으며 앞으로 ICO에 대한 논의를 거쳐 유사수신행위 또는 증권관련 법률로 규제할 것으로 보인다.","가상통화, 블록체인, 비트코인, 빅데이터, 크라우드펀딩, 핀테크"
간접금융/직접금융,"경제에는 자금 잉여주체와 자금 부족주체가 존재하게 되는데 이들 사이에 은행이나 저축은행 신용협동기구 등 금융기관이 개입하여 자금을 중개하는 방식을 간접금융 (indirect financing)이라고 한다. 즉 금융기관이 일반 대중으로부터 예금을 받아 이를 자신의 명의로 기업 등 다른 경제주체에게 대출해 주는 방식이다. 한편 주식, 채권 발행의 경우와 같이 자금수요자가 금융기관을 통하지 않고 금융시장에서 직접 필요자금 을 조달하는 방식을 직접금융(direct financing)이라고 한다. 간접금융에서는 은행이 중추적인 기능을 하고, 직접금융에서는 주식과 채권이 거래되는 자본시장이 중요한 역할을 수행한다. 직접금융과 간접금융은 상호 경쟁적일 뿐만 아니라 보완적이기도 하므로 두 금융방식이 균형적으로 발전될 필요가 있다. 직접금융과 간접금융의 상대적 비중이 어느 정도이어야 이상적인지는 해당 국가의 경제발전단계나 경제구조에 따라 달라질 수밖에 없다. 예를 들면 중소기업의 비중이 높은 국가일수록 정보의 비대칭성 문제를 완화하기 위해 간접금융이 더 중요하고, 혁신산업에 의해 주도되는 경제일수록 동 산업 지원에 유리한 직접금융의 역할이 더 중요할 것이다. 일반적으로 금융시장이 발달함에 따라 직접금융 비중이 높아진다.","금융제도, 장기금융시장(자본시장)"
간접세/직접세,"조세는 납세의무자와 실제로 세금을 부담하게 되는 조세부담자가 일치하는지 여부에 따라 간접세(indirect tax)와 직접세(direct tax)로 구분된다. 납세의무자와 조세부담자가 일치하여 조세부담이 전가(轉嫁)되지 않는 조세를 직접세라고 하며, 대표적인 예로는 소득세, 법인세, 상속세, 증여세, 종합부동산세 등이 있다. 이와 달리 납세의무자와 조세부 담자가 일치하지 않고 조세의 부담이 타인에게 전가되는 세금을 간접세라고 하며, 대표적 인 예로는 부가가치세, 개별소비세, 주세, 인지세, 증권거래세 등이 있다. 간접세는 조세에 대한 저항이 적고 징수가 간편하여 조세수입의 확보가 용이하다는 장점이 있다. 반면, 개인의 사정을 고려할 수 없으므로 누진세율(累進稅率)을 적용하지 못하고 비례세율이 적용됨으로써 소득이 적은 자에게 상대적으로 높은 조세부담률이 적용되는 역진성(逆進 性)을 띠게 되어 공평부담의 원칙에 어긋난다는 단점이 있다. 한편, 국민계정체계에서는 조세의 실질적인 부담주체를 결정하기가 쉽지 않은 점 등을 감안하여 간접세와 직접세 대신 생산 및 수입세, 소득 및 부 등에 대한 경상세, 자본세란 용어를 사용하고 있다.",
감독자협의회,다국적 금융기관들에 대한 효과적인 규제 감독을 위하여 다국적 금융기관의 본점이 소재한 국가(home country)의 감독 당국과 동 기관의 지점 또는 자회사가 소재한 진출국 (host country)의 감독 당국들로 구성된 정보공유 및 감독협력 협의체를 의미한다. 금융 기관의 영업활동이 전 세계적으로 이루어지고 있는데 반해 규제 감독이 금융기관의 국적 또는 지역기반을 중심으로 이루어지고 있는 한계를 극복하기 위하여 설립되었다.,
감응도계수,감응도계수는 모든 산업부문의 생산물에 대한 최종수요가 각각 한 단위씩 증가하였을 때 어떤 산업이 받는 영향을 전산업 평균에 대한 상대적 크기로 나타내는 계수로서 그 산업의 생산유발계수의 행의 합계를 전산업의 평균으로 나누어 구한다.,
갑기금(Capital A),"외국은행 국내지점의 대차대조표상 자본금계정으로 ① 외국은행 국내지점의 설치 및 영업행위를 위하여 본점이 한국은행 등에 외화자금을 매각하여 해당 지점에 공급한 원화 자금 ② 해당 외국은행 국내지점의 적립금에서 전입하는 자금 ③ 외국은행 국내지점 을 추가로 설치하기 위하여 이미 국내에 설치된 외국은행 국내지점의 이월이익잉여금에 서 전입하는 자금 등이 이에 해당한다. 갑기금은 금융위원회로부터 인정받은 금액에 한하여 지점별로 관리하되 각 외은지점의 갑기금은 30억원 이상이어야 한다.( 은행법 시행령 제26조, 은행업 감독규정 제11조)",을기금(Capital B)
거시건전성 정책,"개별 금융회사의 부실 방지를 목적으로 하는 미시건전성정책(microprudential policy) 과 달리 경제전체의 금융안정을 위해 시스템 리스크(systemic risk)를 억제하는 정책을 의미한다. 구체적으로 거시건전성정책(macroprudential policy)의 목표는 시스템 리스 크에 대한 선제적 대응, 과도한 금융불균형 축적 억제, 급격한 되돌림 현상(unwinding) 완화, 금융시스템의 복원력(resilience) 강화, 금융연계성 제어 등을 통해 금융위기의 발생가능성과 실물경제에 미치는 부정적인 영향(spillover effects)을 최소화하는 데 있 다. 거시건전성정책은 통화정책과 재정정책 등 여러 다른 정책과 긴밀히 관련되어 있으 므로, 거시건전성정책의 수립과 집행에는 여러 정책당국 간 정보 공유와 협력 및 조정이 긴요하다.",
거액결제시스템,"거액의 자금이체가 참가기관 간에 자기계산으로 또는 고객을 대신하여 이루어지는 자금이체시스템을 말한다. 거액결제시스템(large-value funds payment system)은 실제 로 결제되는 지급지시에 최소금액이 설정된 것은 아니나 일반적으로 금융시장에서 이루 어진 금융기관간 콜거래, 증권 또는 외환매매 등 거액거래에 따른 대금결제를 다루기 때문에 건당 결제금액이 매우 크다. 또한 한 나라의 금융기관간 거래자금 대부분을 결제하는 중요시스템으로서 결제시점 관리와 결제리스크 감축의 필요성이 높아 주요국의 거액결제시스템은 대부분 신용리스크를 제거할 수 있는 실시간총액결제방식을 채택하고 있으며 운영도 중앙은행이 직접 맡는 경우가 많다. 우리나라의 한은금융망(BOK-Wire+), 미국 연준의 Fedwire, 유럽중앙은행(ECB)의 TARGET2 등이 여기에 해당된다.","소액결제시스템, 지급결제시스템, 총액결제시스템"
거액익스포저 규제,"은행의 특정 차주 등에 대한 신용공여가 과대한 경우 해당 거래상대방의 채무불이행 등의 발생시 해당 은행의 자본건전성을 심하게 훼손할 가능성(편중리스크)이 있다. 바젤Ⅱ에서는 이러한 편중리스크를 직접 규율하지 않고 각국 감독당국이 편중리스크를 점검 관리하도록 하였다. 우리나라는 은행법상 동일인 동일차주 신용공여 한도 제도를 통해 편중리스크를 관리하고 있다. 한편 금융위기 이후 금융기관간 상호연계성에 의한 시스템적 리스크를 억제하고 편중리스크의 근본적인 관리 필요성이 대두됨에 따라 바젤 위원회(BCBS)는 거액익스포저 규제를 도입하였다. 동 규제는 거액익스포저를 특정 차주(개인 법인을 모두 포함하며 우리나라 은행법상 동일인에 해당, single counterparty) 또는 이와 경제적으로 연계되어 있어 신용리스크를 공유하는 자(은행법상 동일차주에 해당, group of connected counterparties)에 대한 신용 익스포저가 은행 기본자본의 10%를 초과하는 경우로 정의하고 거액익스포저 현황을 감독당국에 보고하도록 하는 한편, 거액익스포저가 기본자본의 25%를 초과하지 못하도록 하고 있다. 특히 상호연계성 으로 인한 시스템적 리스크를 억제하기 위해 글로벌 시스템적 중요 은행간 익스포저에 대해서는 한층 강화된 15% 한도를 적용하도록 하고 있다. 동 규제는 2019년 3월부터 행정지도 중이다.",동일인 신용공여한도제(동일인 여신한도제)
결제,"결제(settlement)는 개인이나 기업 등 경제주체가 자금거래 또는 금융자산 거래를 한 후 청산과정을 통해 최종 확정된 금액 또는 증권을 이전하여 법적인 채권 채무를 종결시키는 과정이다. 자금결제에서는 자금이체시스템을 통하여 결제은행에 개설된 예금계좌간 자금이체 방식으로 지급은행에서 수취은행으로 자금이 이동되는 것을 가리 키며, 증권결제나 외환결제와 같이 금융자산과 자금 또는 이종통화간 교환이 함께 일어나 는 가치교환형(exchange-of-value) 결제에서는 두 개의 결제시스템에서 자금과 금융자 산의 이전이 이루어지거나 통화별로 자금 이전이 이루어진다.","지급, 청산"
결제리스크,"결제리스크는 예기치 못한 사정으로 인하여 결제가 예정대로 이루어지지 않을 가능성 또는 그로 인하여 야기되는 손실발생 가능성으로 정의할 수 있다. 이러한 결제리스크는 발생가능성이 낮더라도 실제 발생할 경우 큰 손실을 초래할 수 있다는 특성을 갖고 있다. 지급결제 규모가 지속적으로 늘어나는 가운데 정보통신기술의 발달 등 지급결제 환경 변화와 글로벌 금융위기의 영향 등으로 결제리스크에 대한 관심이 높아지고 있다. 특히 인터넷과 모바일을 이용한 다양한 지급서비스의 제공은 지급결제제도의 효율성을 제고시키고 있으나 다른 한편으로는 결제리스크의 증가에도 영향을 미치고 있다. 결제리 스크는 거래시점과 청산 결제시점간의 차이, 청산 결제방식, 금융시장인프라 참가기관 의 재무건전성 등 여러 요인에 의해 발생할 수 있다. 결제리스크의 종류에는 신용리스크 (credit risk), 유동성리스크(liquidity risk), 운영리스크(operational risk), 법률리스크 (legal risk), 시스템리스크(systemic risk) 등이 있다.","지급결제시스템, 지급결제제도 감시"
결제부족자금 공동분담제,"결제부족자금 공동분담제(loss-sharing)는 참가기관의 결제불이행에 따른 미결제채무 를 여타 참가기관들이 공동분담함으로써 결제의 종료성을 확보하는 방안이다. 이는 특정기 관의 결제불이행이 연쇄적으로 여타 기관의 결제불이행을 유발함으로써 발생할 수 있는 전체 지급결제시스템의 붕괴와 금융혼란을 방지하기 위한 것이다. 미결제채무의 분담기준 으로는 참가기관의 규모, 시스템 이용실적, 참가기관의 신용한도액 등을 사용한다. 일반적 으로 신용한도와 동시에 운용될 때는 각 참가기관이 결제불이행기관에 제공한 신용한도를 손실분담기준으로 사용하게 되며 이 경우 각 참가기관은 보다 신중하게 상대신용한도를 설정하게 되는 등 참가기관들에 대하여 리스크 감축을 위한 동기를 부여하는 효과를 기대할 수 있다. 결제부족자금 공동분담은 결제불이행 기관의 사전담보로 결제이행재원을 조달하는 채무불이행자 부담(defaulter pays)과 달리 생존기관(결제이행기관)이 결제이행 재원을 분담한다는 점에서 생존자 분담(survivors pay) 방식이라고도 한다.","결제리스크, 차액결제시스템"
결제완결성,"지급결제시스템을 통해 이루어진 참가기관의 지급, 청산, 결제가 어떠한 상황이나 법률에 의해서도 취소되거나 무효화되지 않고 해당 지급결제시스템의 운영 규칙에 따라 무조건적으로 이루어지는 것을 의미한다. 결제완결성(settlement finality)이 보장되지 않을 경우 지급결제시스템을 통해 완료된 금융기관의 지급, 청산, 결제 행위가 사후적으 로 무효화될 수 있어 금융시스템에 큰 혼란을 초래할 수 있다. 지급결제 및 시장인프라 위원회 (CPMI)와 국제증권감독기구 (IOSCO)가 제정한 국제기준인 금융시장인프라 에 관한 원칙 (PFMI)에서도 결제완결성 원칙이 규정되어 있어 각국 정책당국이 준수하 도록 하고 있다. 우리나라는 2006년 4월 시행된 채무자회생 및 파산에 관한 법률 에서 지급결제시스템에 대한 결제완결성 보장 제도가 도입되었다. 동 법에 따라 한국은행 총재는 금융위원회 위원장과 협의하여 결제완결성이 보장되는 지급결제시스템을 지정 할 수 있으며, 지정된 지급결제시스템을 통해 이루어진 지급, 청산, 결제 등은 참가기관의 파산 등의 사유로 취소할 수 없도록 하고 있다.",
겸업주의/전업주의,"하나의 금융회사가 제공할 수 있는 금융서비스의 종류를 어떻게 정하느냐에 따라 겸업주의(universal banking)와 전업주의(specialized banking)로 구분된다. 겸업주의는 한 금융회사가 은행 증권 보험 등 여러 금융서비스를 취급할 수 있는 반면 전업주의는 은행 증권사 보험사 등이 각각 해당하는 고유의 서비스만을 제공하는 방식이다. 현재 세계적으로 겸업주의가 대세를 이루고 있으나 국가별로는 법적 형태면에서 차이가 있다. 독일, 네덜란드, 스위스 등 대부분의 유럽국가는 은행산업과 증권산업 간에 아무런 장벽을 두지 않고 하나의 은행이라는 법적 조직체 안에서 은행, 증권, 보험 등의 모든 서비스를 제공하는 내부겸업 시스템을 근간으로 한다. 반면에 영국 및 영연방국가, 현재의 미국에서 는 은행이 자회사를 통해 증권이나 보험업무를 수행하는 외부겸업 시스템을 택하고 있다. 전업주의는 종전의 일본 및 미국의 경우처럼 은행산업과 여타 금융서비스 산업의 법적인 분리를 특징으로 한다. 우리나라는 과거에 전업주의를 채택하였으나 1980년대 이후 내부겸업을 확대하여 왔으며 2000년 금융지주회사법 제정으로 미국, 일본 등과 같은 외부겸업 시스템을 도입하였다. 한편 국외에서는 2008년 글로벌 금융위기의 원인 중 하나로 금융회사의 과도한 금융겸업 확대가 지목되면서 이를 우려하는 목소리가 커지고 있다. 그 결과 미국은 은행부문의 헤지펀드 및 사모펀드 운영을 제한하는 볼커룰 (Volcker Rule)을 도입하였으며, 영국은 예금 대출 위주의 소매은행으로부터 리스크가 높은 증권투자업무를 분리하는 ‘소매은행업 격리제도(ring-fenced bank)’를 마련하였다.",볼커룰
경기,"경기(business conditions)라는 단어는 일상생활에서 경제적인 형편을 뜻하는 말로 자주 사용된다. 기업들은 매출이 늘고 채산성이 좋아지면 경기가 좋다고 인식할 것이고, 가계는 임금이 인상되거나 주식, 부동산 등의 자산가격이 올라 살림이 좋아지면 경기가 좋아졌다고 느낄 것이다. 범위를 넓혀 국민경제 전체를 대상으로 볼 때, 경기가 좋다는 것은 생산, 소비, 투자 등의 경제활동이 평균 수준 이상으로 활발한 경우를 의미한다. 장기적 관점에서 경기는 항상 일정한 수준을 유지하는 것이 아니라 생산 물가 고용이 상승하는 시기와 하락하는 시기가 주기적으로 순환을 반복하는 경제활동의 상황을 의미 한다. 경기는 호황기→후퇴기→불황기→회복기→호황기가 반복되면서 끊임없이 변동하 며, 이렇게 경기의 일정한 움직임이 되풀이 되는 것을 경기의 순환(business cycle)이라고 한다. 이러한 경기의 순환과정은 확장국면과 수축국면이 교대로 되풀이 되는 반복성, 여러 측면의 경제활동을 포괄하는 다양성, 확장 및 수축 양상이 시차를 두고 경제 각 부문에 전달되는 파급성, 그리고 일정한 방향으로 계속 확대해 나가는 지속성 등의 특징을 갖는다. 경기를 판단하는 방법으로는 생산, 투자, 고용, 수출 등 경제 각 부문의 여러 경제지표의 움직임을 분석하는 방법, 종합경기지표로 판단하는 방법, 기업가나 소비자들의 경기판단 및 전망 설문조사 결과에 의한 방법 등이 있다.","경기종합지수, 경기동향지수(경기확산지수), 동행종합지수"
경기동향지수(경기확산지수),"경기동향지수는 경기종합지수와는 달리 경기변동의 진폭이나 속도는 측정하지 않고 변화방향만을 파악하는 것으로서 경기의 국면 및 전환점을 식별하기 위한 지표로서 경기확산지수(diffusion index)라고도 한다. 경기동향지수는 경기변동이 경제의 특정부 문으로부터 전체 경제로 확산, 파급되는 과정을 경제부문을 대표하는 각 지표들을 통하여 파악하기 위한 지표이다. 이때 경제지표 간의 연관관계는 고려하지 않고 변동 방향만을 종합하여 지수로 만든다. 경기종합지수와 같이 선행 동행 후행지수로 작성되며, 계절변 동과 불규칙 요인이 제거된 전체 계열 중에서 전월에 비해 증가한 지표수가 차지하는 비중으로 나타낸다. 예컨대 10개의 대표 계열 중 7개의 지표가 증가하는 방향으로 움직였 다면 경기확산지수는 70%로 나타난다. 만약 경기동향지수가 기준선인 50보다 크면 경기는 확장국면에, 50보다 작으면 수축국면에 있는 것으로 판단한다.",경기종합지수
경기순응성,"경기순응성이란 통상 경제주체의 위험인식 및 행위, 금융의 제도 및 규제 등의 효과가 경기변동의 움직임과 같은 방향으로 움직이는 것을 의미한다. 예를 들어 은행대출의 경우 호경기에는 미래에 대한 낙관적 기대 등으로 여신심사기준도 완화되어 더 크게 증가하여 경기확장에 기여한다. 반면 불경기에는 심사기준이 강화되어 대출이 큰 폭으로 감소하여 불황을 더욱 부추기게 된다. 이러한 은행대출의 경기순응적 대출행태는 신용팽 창 또는 위축을 가속시킴으로써 경기변동의 진폭을 더욱 크게 한다. 따라서 정책당국은 정책을 마련할 경우 경기순응성을 완화할 수 있는 경기대응적 정책수단을 개발하기 위해 노력하고 있다.",거시건전성 정책
경기조절정책/경제안정화정책,"경기조절정책(business adjustment policy) 또는 경제안정화정책(stabilization policy) 은 경기가 지나친 확장 또는 수축 현상을 보일 경우 이를 정상수준으로 되돌리기 위해 정책당국이 취하는 제반 조치를 말한다. 이는 정책당국이 경제 전체의 총수요 수준을 변동시킴으로써 경기 수위를 조절하는 데 초점을 맞추고 있다. 실제 운영에 있어서는 정부지출과 세율을 조정하는 재정정책이 이용되거나 통화량과 금리 수준을 조절하는 통화정책이 활용된다. 즉 경기가 정상수준을 큰 폭 밑도는 불황에 직면하게 될 경우 정부는 재정지출을 늘리거나 조세를 줄이는 재정정책 수단을 동원한다. 한편 중앙은행은 통화량을 늘리거나 금리를 내리는 정책수단을 활용한다. 이와는 반대로 경기가 지나치게 과열될 경우 정책당국은 재정측면에서는 정부지출을 줄이거나 조세를 늘리고, 통화측면 에서는 통화량을 줄이거나 금리를 올리는 조치를 취한다.","재정정책, 통화정책"
경기종합지수,"산업생산지수, 소매판매액지수 등 개별 경제지표들은 경제활동의 한 측면만을 반영하 고 있어 나라 경제의 전반적인 상황을 종합적으로 파악하기 어렵다. 이에 따라 개별 경제지표들을 가공 합성하여 경기종합지수(CI; Composite Index)를 작성하여 활용하고 있다. 경기종합지수는 각 부문별로 경기를 잘 나타내는 경제지표들을 선정한 다음 계절 및 불규칙 요인의 제거, 진폭의 표준화 등의 가공 과정을 거친 후 합산하여 하나의 지수로 만든 것이다. 경기종합지수는 지수의 변동 방향으로 경기변동의 방향을 가늠할 수 있고, 지수의 변동 폭으로 경기변동의 크기를 알 수 있기 때문에 경기흐름을 종합적으 로 판단하는데 매우 유용하다. 한편, 경기종합지수는 경기에 대한 선 후행 관계에 따라 선행종합지수, 동행종합지수, 후행종합지수로 구분한다. 선행종합지수는 비교적 가까운 장래의 경기 동향을 예측하는 데 활용되며, 동행종합지수는 현재의 경기상태를 판단하는 데 이용되고, 후행종합지수는 경기변동을 사후에 확인하는 데 활용된다.",경기동향지수(경기확산지수)
